日時,ログオン ユーザー名,種類,詳細 2,防止・禁止
2026-06-01 08:41:00,user001,Web アクセス監視,https://www.google.com/search,
2026-06-01 18:04:00,user001,Web アクセス監視,https://intranet.local/portal,
2026-06-01 16:13:00,user001,Web アクセス監視,https://intranet.local/portal,
2026-06-01 15:55:00,user001,Web アクセス監視,https://www.google.com/search,
2026-06-01 10:17:00,user001,Web アクセス監視,https://gigafile.nu/abc,
2026-06-01 12:28:00,user001,Web アクセス監視,https://gigafile.nu/abc,
2026-06-01 10:18:00,user002,Web アクセス監視,https://amazon.co.jp/item,
2026-06-01 11:38:00,user002,Web アクセス監視,https://drive.google.com/file,
2026-06-01 16:03:00,user002,Web アクセス監視,https://intranet.local/portal,
2026-06-01 15:04:00,user002,Web アクセス監視,https://drive.google.com/file,
2026-06-01 08:16:00,user003,Web アクセス監視,https://www.google.com/search,
2026-06-01 09:06:00,user003,Web アクセス監視,https://amazon.co.jp/item,
2026-06-01 15:45:00,user003,Web アクセス監視,https://x.com/post,
2026-06-01 13:03:00,user003,Web アクセス監視,https://intranet.local/portal,
2026-06-01 10:50:00,user003,Web アクセス監視,https://chatgpt.com/chat,
2026-06-01 11:02:00,user003,Web アクセス監視,https://amazon.co.jp/item,
2026-06-01 15:25:00,user004,Web アクセス監視,https://x.com/post,
2026-06-01 11:17:00,user004,Web アクセス監視,https://youtube.com/watch,
2026-06-01 09:29:00,user004,Web アクセス監視,https://drive.google.com/file,
2026-06-01 17:13:00,user004,Web アクセス監視,https://gigafile.nu/abc,
2026-06-01 12:05:00,user004,Web アクセス監視,https://youtube.com/watch,
2026-06-01 08:28:00,user005,Web アクセス監視,https://x.com/post,
2026-06-01 10:32:00,user005,Web アクセス監視,https://intranet.local/portal,
2026-06-01 13:22:00,user005,Web アクセス監視,https://amazon.co.jp/item,
2026-06-01 13:27:00,user005,Web アクセス監視,https://x.com/post,
2026-06-01 15:17:00,user005,Web アクセス監視,https://youtube.com/watch,
2026-06-01 17:06:00,user006,Web アクセス監視,https://gigafile.nu/abc,
2026-06-01 15:40:00,user006,Web アクセス監視,https://gigafile.nu/abc,
2026-06-01 11:58:00,user006,Web アクセス監視,https://x.com/post,
2026-06-01 17:02:00,user006,Web アクセス監視,https://chatgpt.com/chat,
2026-06-01 15:31:00,user006,Web アクセス監視,https://chatgpt.com/chat,
2026-06-01 17:36:00,user006,Web アクセス監視,https://x.com/post,
2026-06-01 14:56:00,user007,Web アクセス監視,https://x.com/post,
