machine_name,user_name,59,68,69,70,maker_name,model_name,os_type,inst_price,purchase_date,depreciation_date,inst_date
PC-001,社員1,user001,新栄総合管理,営業部,一課,Dell,OptiPlex,Windows11,120000,2019-04-01,2022-03-31,2019-04-05
PC-002,社員2,user002,新栄総合管理,営業部,二課,Dell,OptiPlex,Windows11,121000,2020-04-01,2023-03-31,2020-04-05
PC-003,社員3,user003,新栄総合管理,営業部,二課,Dell,OptiPlex,Windows11,122000,2021-04-01,2024-03-31,2021-04-05
PC-004,社員4,user004,新栄総合管理,管理部,一課,Dell,OptiPlex,Windows11,123000,2022-04-01,2025-03-31,2022-04-05
PC-005,社員5,user005,新栄総合管理,管理部,二課,Dell,OptiPlex,Windows11,124000,2023-04-01,2026-03-31,2023-04-05
PC-006,社員6,user006,新栄総合管理,管理部,二課,Dell,OptiPlex,Windows11,125000,2024-04-01,2027-03-31,2024-04-05
PC-007,社員7,user007,新栄総合管理,システム課,一課,Dell,OptiPlex,Windows11,126000,2019-04-01,2022-03-31,2019-04-05
PC-008,社員8,user008,新栄総合管理,システム課,二課,Dell,OptiPlex,Windows11,127000,2020-04-01,2023-03-31,2020-04-05
PC-009,社員9,user009,新栄総合管理,システム課,二課,Dell,OptiPlex,Windows11,128000,2021-04-01,2024-03-31,2021-04-05
PC-010,社員10,user010,新栄不動産,賃貸部,一課,Dell,OptiPlex,Windows11,129000,2022-04-01,2025-03-31,2022-04-05
PC-011,社員11,user011,新栄不動産,賃貸部,二課,Dell,OptiPlex,Windows11,130000,2023-04-01,2026-03-31,2023-04-05
PC-012,社員12,user012,新栄不動産,賃貸部,二課,Dell,OptiPlex,Windows11,131000,2024-04-01,2027-03-31,2024-04-05
PC-013,社員13,user013,新栄不動産,売買部,一課,Dell,OptiPlex,Windows11,132000,2019-04-01,2022-03-31,2019-04-05
PC-014,社員14,user014,新栄不動産,売買部,二課,Dell,OptiPlex,Windows11,133000,2020-04-01,2023-03-31,2020-04-05
PC-015,社員15,user015,新栄不動産,売買部,二課,Dell,OptiPlex,Windows11,134000,2021-04-01,2024-03-31,2021-04-05
