"日時","種類","中継サービス名","端末エージェント名","ログオン ユーザー名","詳細 1","詳細 2"
"2026/04/30 19:47:23","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI113","i-sugiuchi","指定されたキーワードを含む URL にアクセスされました。","https://drive.google.com/drive/?lfhs=2"
"2026/04/30 19:41:07","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI113","i-sugiuchi","指定されたキーワードを含む URL にアクセスされました。","https://drive.google.com/drive/?lfhs=2"
"2026/04/30 18:29:04","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE069","y-kawano","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/30 18:28:19","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE069","y-kawano","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/30 18:20:36","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE012","h-kikuchi","指定されたキーワードを含む URL にアクセスされました。","https://youtube.com/"
"2026/04/30 18:01:05","デバイス操作監視","malioncloud4891.intercom.co.jp","SHINEI115","m-taniue","[USB- リムーバブルメディア]が接続されています。","KIOXIA TransMemory USB Device(USBSTOR\DISK&VEN_KIOXIA&PROD_TRANSMEMORY&REV_\0022CFF653EDC8708323CA4D&0)"
"2026/04/30 16:55:19","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE050","m-kawano","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/30 16:51:44","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE050","m-kawano","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/30 16:46:44","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI110","e-mita","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/30 16:41:43","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI110","e-mita","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/30 15:59:11","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI109","m-harada","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/30 15:56:36","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI110","e-mita","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/30 15:51:34","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI110","e-mita","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/30 15:41:14","アプリケーション起動監視","malioncloud4891.intercom.co.jp","EMPIRE032","t-kishikawa","アプリケーションを起動しました。","M365Copilot.exe"
"2026/04/30 15:29:16","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE052","m-kai","指定されたキーワードを含む URL にアクセスされました。","https://youtube.com/"
"2026/04/30 15:15:41","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI110","e-mita","指定されたキーワードを含む URL にアクセスされました。","https://www.msn.com/"
"2026/04/30 14:23:10","Web アクセス監視","malioncloud4891.intercom.co.jp","SHINEI109","m-harada","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
"2026/04/30 14:00:25","Web アクセス監視","malioncloud4891.intercom.co.jp","EMPIRE078","t-inoue","指定されたキーワードを含む URL にアクセスされました。","https://onedrive.live.com/"
